2023-05-14 19:05:754 INFO  HomePage :85 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-05-14 19:05:751 INFO  ComputerPage :29 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (5a6e3dbb75dd064e1cbf942395cb4491)] -> css selector: div[class='page-title'] h1]
2023-05-14 19:05:81 INFO  HomePage :44 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (73bca6cd4f7ee78824c0ec5c9fb8eb80)] -> link text: Log in]
2023-05-14 19:05:989 INFO  LoginPage :38 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (73bca6cd4f7ee78824c0ec5c9fb8eb80)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-05-14 19:05:643 INFO  HomePage :55 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (d876428846df69f0ad9ec6226e02af60)] -> link text: Register]
2023-05-14 19:05:513 INFO  RegisterPage :77 - Get registerText : [[ChromeDriver: chrome on WINDOWS (d876428846df69f0ad9ec6226e02af60)] -> css selector: div[class='page-title'] h1]
2023-05-14 19:05:916 INFO  HomePage :85 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-05-14 19:05:953 INFO  ComputerPage :29 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (58a3fd8a3a14f25935aa0eeaba32eb98)] -> css selector: div[class='page-title'] h1]
2023-05-14 19:05:941 INFO  HomePage :44 - Clicking on login link [[ChromeDriver: chrome on WINDOWS (f2b2bb6a693eae3150425b9cb8443073)] -> link text: Log in]
2023-05-14 19:05:802 INFO  LoginPage :38 - Getting welcome text [[ChromeDriver: chrome on WINDOWS (f2b2bb6a693eae3150425b9cb8443073)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2023-05-14 19:05:112 INFO  HomePage :55 - Clicking on register link [[ChromeDriver: chrome on WINDOWS (90dc5deb26a7da1bf137954236a2b461)] -> link text: Register]
2023-05-14 19:05:987 INFO  RegisterPage :77 - Get registerText : [[ChromeDriver: chrome on WINDOWS (90dc5deb26a7da1bf137954236a2b461)] -> css selector: div[class='page-title'] h1]
2023-05-14 20:05:466 INFO  HomePage :85 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-05-14 20:05:520 INFO  ComputerPage :29 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (fea666aaf2ea7dfa131d4960b52ff414)] -> css selector: div[class='page-title'] h1]
2023-05-14 20:05:352 INFO  HomePage :85 - Click on 'Computers[[[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-05-14 20:05:899 INFO  ComputerPage :36 - Click on '[[[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2023-05-14 20:05:312 INFO  DesktopsPage :37 - Get pageTitle text [[ChromeDriver: chrome on WINDOWS (7daa6c941536e2bdce335936022fdb55)] -> css selector: div[class='page-title'] h1]
